Year,Drivers,Class,Team,Car,Tyre,Laps,Km,Mi,Series,Driver_nationality,Team_nationality,Average_speed_kmh,Average_speed_mph,Average_lap_time,Decade,Speed_Category,Endurance_Category,Km_per_Lap
2011,Marcel Fässler,,Audi Sport Team Joest,Audi R18 Tdi,Michelin,355.0,4838.295,3006.377,Ilmc,Sui,Deu,201.6,125.27,4.06,2010,Very Fast,Ultra Long,13.63
2011,André Lotterer,,Audi Sport Team Joest,Audi R18 Tdi,Michelin,355.0,4838.295,3006.377,Ilmc,Deu,Deu,201.6,125.27,4.06,2010,Very Fast,Ultra Long,13.63
2011,Benoît Tréluyer,,Audi Sport Team Joest,Audi R18 Tdi,Michelin,355.0,4838.295,3006.377,Ilmc,Fra,Deu,201.6,125.27,4.06,2010,Very Fast,Ultra Long,13.63
2012,Marcel Fässler,,Audi Sport Team Joest,Audi R18 E-Tron Quattro,Michelin,378.0,5151.762,3201.156,Fia Wec,Sui,Deu,214.66,133.38,3.81,2010,Very Fast,Ultra Long,13.63
2012,André Lotterer,,Audi Sport Team Joest,Audi R18 E-Tron Quattro,Michelin,378.0,5151.762,3201.156,Fia Wec,Deu,Deu,214.66,133.38,3.81,2010,Very Fast,Ultra Long,13.63
2012,Benoît Tréluyer,,Audi Sport Team Joest,Audi R18 E-Tron Quattro,Michelin,378.0,5151.762,3201.156,Fia Wec,Fra,Deu,214.66,133.38,3.81,2010,Very Fast,Ultra Long,13.63
2013,Loïc Duval,,Audi Sport Team Joest,Audi R18 E-Tron Quattro,Michelin,348.0,4742.892,2947.096,Fia Wec,Fra,Deu,197.62,122.8,4.14,2010,Fast,Ultra Long,13.63
2013,Tom Kristensen,,Audi Sport Team Joest,Audi R18 E-Tron Quattro,Michelin,348.0,4742.892,2947.096,Fia Wec,Den,Deu,197.62,122.8,4.14,2010,Fast,Ultra Long,13.63
2013,Allan Mcnish,,Audi Sport Team Joest,Audi R18 E-Tron Quattro,Michelin,348.0,4742.892,2947.096,Fia Wec,Gbr,Deu,197.62,122.8,4.14,2010,Fast,Ultra Long,13.63
2014,Marcel Fässler,,Audi Sport Team Joest,Audi R18 E-Tron Quattro,Michelin,379.0,5165.391,3209.625,Fia Wec,Sui,Deu,215.22,133.73,3.8,2010,Very Fast,Ultra Long,13.63
2014,André Lotterer,,Audi Sport Team Joest,Audi R18 E-Tron Quattro,Michelin,379.0,5165.391,3209.625,Fia Wec,Deu,Deu,215.22,133.73,3.8,2010,Very Fast,Ultra Long,13.63
2014,Benoît Tréluyer,,Audi Sport Team Joest,Audi R18 E-Tron Quattro,Michelin,379.0,5165.391,3209.625,Fia Wec,Fra,Deu,215.22,133.73,3.8,2010,Very Fast,Ultra Long,13.63
2015,Earl Bamber,,Porsche Team,Porsche 919 Hybrid,Michelin,395.0,5382.82,3344.73,Fia Wec,Nzl,Deu,224.28,139.36,3.65,2010,Very Fast,Ultra Long,13.63
2015,Nico Hülkenberg,,Porsche Team,Porsche 919 Hybrid,Michelin,395.0,5382.82,3344.73,Fia Wec,Deu,Deu,224.28,139.36,3.65,2010,Very Fast,Ultra Long,13.63
2015,Nick Tandy,,Porsche Team,Porsche 919 Hybrid,Michelin,395.0,5382.82,3344.73,Fia Wec,Gbr,Deu,224.28,139.36,3.65,2010,Very Fast,Ultra Long,13.63
2016,Romain Dumas,,Porsche Team,Porsche 919 Hybrid,Michelin,384.0,5233.536,3251.969,Fia Wec,Fra,Deu,218.06,135.5,3.75,2010,Very Fast,Ultra Long,13.63
2016,Neel Jani,,Porsche Team,Porsche 919 Hybrid,Michelin,384.0,5233.536,3251.969,Fia Wec,Sui,Deu,218.06,135.5,3.75,2010,Very Fast,Ultra Long,13.63
2016,Marc Lieb,,Porsche Team,Porsche 919 Hybrid,Michelin,384.0,5233.536,3251.969,Fia Wec,Deu,Deu,218.06,135.5,3.75,2010,Very Fast,Ultra Long,13.63
2017,Earl Bamber,,Porsche Lmp Team,Porsche 919 Hybrid,Michelin,367.0,5001.23,3107.62,Fia Wec,Nzl,Deu,208.38,129.48,3.92,2010,Very Fast,Ultra Long,13.63
2017,Timo Bernhard,,Porsche Lmp Team,Porsche 919 Hybrid,Michelin,367.0,5001.23,3107.62,Fia Wec,Deu,Deu,208.38,129.48,3.92,2010,Very Fast,Ultra Long,13.63
2017,Brendon Hartley,,Porsche Lmp Team,Porsche 919 Hybrid,Michelin,367.0,5001.23,3107.62,Fia Wec,Nzl,Deu,208.38,129.48,3.92,2010,Very Fast,Ultra Long,13.63
2018,Fernando Alonso,,Toyota Gazoo Racing,Toyota Ts050 Hybrid,Michelin,388.0,5286.888,3285.12,Fia Wec,Esp,Jpn,220.29,136.88,3.71,2010,Very Fast,Ultra Long,13.63
2018,Sébastien Buemi,,Toyota Gazoo Racing,Toyota Ts050 Hybrid,Michelin,388.0,5286.888,3285.12,Fia Wec,Sui,Jpn,220.29,136.88,3.71,2010,Very Fast,Ultra Long,13.63
2018,Kazuki Nakajima,,Toyota Gazoo Racing,Toyota Ts050 Hybrid,Michelin,388.0,5286.888,3285.12,Fia Wec,Jpn,Jpn,220.29,136.88,3.71,2010,Very Fast,Ultra Long,13.63
2019,Fernando Alonso,,Toyota Gazoo Racing,Toyota Ts050 Hybrid,Michelin,385.0,5246.01,3259.72,Fia Wec,Esp,Jpn,218.58,135.82,3.74,2010,Very Fast,Ultra Long,13.63
2019,Sébastien Buemi,,Toyota Gazoo Racing,Toyota Ts050 Hybrid,Michelin,385.0,5246.01,3259.72,Fia Wec,Sui,Jpn,218.58,135.82,3.74,2010,Very Fast,Ultra Long,13.63
2019,Kazuki Nakajima,,Toyota Gazoo Racing,Toyota Ts050 Hybrid,Michelin,385.0,5246.01,3259.72,Fia Wec,Jpn,Jpn,218.58,135.82,3.74,2010,Very Fast,Ultra Long,13.63
2020,Sébastien Buemi,,Toyota Gazoo Racing,Toyota Ts050 Hybrid,Michelin,387.0,5272.46,3276.15,Fia Wec,Sui,Jpn,219.69,136.51,3.72,2020,Very Fast,Ultra Long,13.62
2020,Brendon Hartley,,Toyota Gazoo Racing,Toyota Ts050 Hybrid,Michelin,387.0,5272.46,3276.15,Fia Wec,Nzl,Jpn,219.69,136.51,3.72,2020,Very Fast,Ultra Long,13.62
2020,Kazuki Nakajima,,Toyota Gazoo Racing,Toyota Ts050 Hybrid,Michelin,387.0,5272.46,3276.15,Fia Wec,Jpn,Jpn,219.69,136.51,3.72,2020,Very Fast,Ultra Long,13.62
2021,Mike Conway,,Toyota Gazoo Racing,Toyota Gr010 Hybrid,Michelin,371.0,5054.5,3140.7,Fia Wec,Gbr,Jpn,210.6,130.86,3.88,2020,Very Fast,Ultra Long,13.62
2021,Kamui Kobayashi,,Toyota Gazoo Racing,Toyota Gr010 Hybrid,Michelin,371.0,5054.5,3140.7,Fia Wec,Jpn,Jpn,210.6,130.86,3.88,2020,Very Fast,Ultra Long,13.62
2021,José María López,,Toyota Gazoo Racing,Toyota Gr010 Hybrid,Michelin,371.0,5054.5,3140.7,Fia Wec,Arg,Jpn,210.6,130.86,3.88,2020,Very Fast,Ultra Long,13.62
2022,Sébastien Buemi,,Toyota Gazoo Racing,Toyota Gr010 Hybrid,Michelin,380.0,5177.17,3217.0,Fia Wec,Sui,Jpn,215.72,134.04,3.79,2020,Very Fast,Ultra Long,13.62
2022,Brendon Hartley,,Toyota Gazoo Racing,Toyota Gr010 Hybrid,Michelin,380.0,5177.17,3217.0,Fia Wec,Nzl,Jpn,215.72,134.04,3.79,2020,Very Fast,Ultra Long,13.62
2022,Ryō Hirakawa,,Toyota Gazoo Racing,Toyota Gr010 Hybrid,Michelin,380.0,5177.17,3217.0,Fia Wec,Jpn,Jpn,215.72,134.04,3.79,2020,Very Fast,Ultra Long,13.62
2023,James Calado,,Ferrari – Af Corse,Ferrari 499P,Michelin,342.0,4660.1,2895.65,Fia Wec,Gbr,Ita,194.17,120.65,4.21,2020,Fast,Ultra Long,13.63
2023,Antonio Giovinazzi,,Ferrari – Af Corse,Ferrari 499P,Michelin,342.0,4660.1,2895.65,Fia Wec,Ita,Ita,194.17,120.65,4.21,2020,Fast,Ultra Long,13.63
2023,Alessandro Pier Guidi,,Ferrari – Af Corse,Ferrari 499P,Michelin,342.0,4660.1,2895.65,Fia Wec,Ita,Ita,194.17,120.65,4.21,2020,Fast,Ultra Long,13.63
